CustomerID,LastPurchaseDate,Frequency,Monetary,TotalTransactions,AvgTransactionValue,Country,Region,Recency,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment,Historical_CLV,Predicted_CLV
13047,2025-02-02 13:06:00,4,825.5300000000002,43,19.19837209302326,United Kingdom,Scotland,26,4,5,4,454,13,Champions,825.5300000000002,122.86958139534886
17420,2024-11-30 09:56:00,1,130.85,7,18.692857142857143,United Kingdom,London,90,1,1,1,111,3,Hibernating,130.85,7.477142857142858
13747,2024-11-30 10:37:00,1,79.6,1,79.6,United Kingdom,London,90,1,1,1,111,3,Hibernating,79.6,31.84
14307,2025-01-18 14:43:00,2,1270.5600000000002,79,16.083037974683545,United Kingdom,South East,41,3,4,5,345,12,Loyal Customers,1270.5600000000002,38.599291139240506
16552,2024-11-30 12:36:00,1,95.29,5,19.058,United Kingdom,London,90,1,1,1,111,3,Hibernating,95.29,7.623200000000001
14729,2024-11-30 12:43:00,1,313.48999999999995,71,4.4153521126760555,United Kingdom,Northern Ireland,90,1,1,3,113,5,Hibernating,313.48999999999995,1.7661408450704223
12748,2025-02-27 13:31:00,44,5036.539999999985,794,6.34324937027706,United Kingdom,Wales,1,5,5,5,555,15,Champions,5036.539999999985,558.2059445843813
14001,2024-11-30 12:58:00,1,301.24,9,33.471111111111114,United Kingdom,Wales,90,1,1,2,112,4,Hibernating,301.24,13.388444444444445
15525,2024-11-30 13:17:00,1,313.9299999999999,57,5.507543859649121,United Kingdom,Yorkshire,90,1,1,3,113,5,Hibernating,313.9299999999999,2.2030175438596484
17905,2024-12-21 16:23:00,2,394.15,28,14.076785714285714,United Kingdom,Yorkshire,69,2,4,3,243,9,About To Sleep,394.15,22.522857142857145
17873,2024-11-30 14:54:00,1,215.14999999999998,9,23.90555555555555,United Kingdom,London,90,1,1,2,112,4,Hibernating,215.14999999999998,9.562222222222221
16928,2025-02-10 11:57:00,3,330.0,15,22.0,United Kingdom,London,18,4,4,3,443,11,Loyal Customers,330.0,105.60000000000001
14142,2024-11-30 16:33:00,1,311.81000000000006,22,14.17318181818182,United Kingdom,North West,90,1,1,2,112,4,Hibernating,311.81000000000006,5.669272727272729
18011,2024-11-30 17:35:00,1,102.79,28,3.671071428571429,United Kingdom,West Midlands,89,1,1,1,111,3,Hibernating,102.79,1.4684285714285716
17732,2024-12-01 09:29:00,1,303.97,18,16.887222222222224,United Kingdom,North West,89,1,1,2,112,4,Hibernating,303.97,6.75488888888889
12855,2024-12-01 09:37:00,1,38.1,3,12.700000000000001,United Kingdom,London,89,1,1,1,111,3,Hibernating,38.1,5.080000000000001
14047,2025-01-06 09:23:00,2,296.22,13,22.786153846153848,United Kingdom,West Midlands,53,2,4,2,242,8,About To Sleep,296.22,36.457846153846155
15363,2024-12-01 12:28:00,1,326.0,16,20.375,United Kingdom,North West,89,1,1,3,113,5,Hibernating,326.0,8.15
15640,2025-02-12 15:17:00,5,4351.029999999998,140,31.0787857142857,United Kingdom,London,16,4,5,5,455,14,Champions,4351.029999999998,248.6302857142856
12967,2024-12-15 19:10:00,2,1660.9,19,87.41578947368421,United Kingdom,East Midlands,74,2,4,5,245,11,About To Sleep,1660.9,139.86526315789476
16891,2024-12-02 11:35:00,1,232.25999999999988,69,3.3660869565217375,United Kingdom,North East,88,1,1,2,112,4,Hibernating,232.25999999999988,1.346434782608695
14680,2025-02-17 11:54:00,5,8284.119999999999,95,87.20126315789473,United Kingdom,East of England,11,5,5,5,555,15,Champions,8284.119999999999,872.0126315789473
15708,2025-02-26 11:40:00,4,1624.45,161,10.08975155279503,United Kingdom,East Midlands,2,5,5,5,555,15,Champions,1624.45,80.71801242236025
16839,2025-02-16 08:40:00,6,2886.3300000000004,46,62.7463043478261,United Kingdom,Wales,12,4,5,5,455,14,Champions,2886.3300000000004,602.3645217391306
